Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.27     0.00   130031     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_addr() const
  0.00      5.27     0.00   110367     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      5.27     0.00   107426     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, bool> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      5.27     0.00   107169     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_ptr()
  0.00      5.27     0.00   107169     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_addr()
  0.00      5.27     0.00   107169     0.00     0.00  std::_Rb_tree_node<std::pair<int const, bool> >::_M_valptr()
  0.00      5.27     0.00   103173     0.00     0.00  std::less<char>::operator()(char const&, char const&) const
  0.00      5.27     0.00   102545     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      5.27     0.00    98699     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&, unsigned long) const
  0.00      5.27     0.00    94445     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00      5.27     0.00    94120     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
